,county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,all_hospital_beds,icu_suspected_covid_patients,icu_available_beds,Total cases
13878,San Francisco,12/1/2020,88,3,1831,0,63,91
13879,Alameda,12/1/2020,187,47,2552,3,75,234
13880,Tulare,12/1/2020,92,11,683,1,21,103
13881,Fresno,12/1/2020,291,27,1732,3,9,318
13882,Riverside,12/1/2020,628,76,3485,8,44,704
13883,Yolo,12/1/2020,20,0,97,0,6,20
13884,Nevada,12/1/2020,16,1,128,1,4,17
13885,Contra Costa,12/2/2020,116,15,1564,1,55,131
13886,Monterey,12/2/2020,82,1,717,0,20,83
13887,Solano,12/2/2020,67,11,559,2,12,78
13888,Orange,12/2/2020,735,49,6072,6,114,784
13889,Riverside,12/2/2020,649,72,3515,5,44,721
13890,Los Angeles,12/2/2020,2668,336,20383,25,528,3004
13891,Tuolumne,12/2/2020,11,0,84,0,1,11
13892,Mariposa,12/2/2020,1,0,19,0,0,1
13893,San Francisco,12/2/2020,93,5,1894,0,62,98
13894,Inyo,12/2/2020,2,0,29,0,4,2
13895,Glenn,12/2/2020,0,0,47,0,0,0
13896,Lassen,12/2/2020,7,0,25,0,0,7
13897,Humboldt,12/2/2020,5,6,281,1,2,11
13898,Tehama,12/2/2020,11,0,59,0,2,11
13899,Lake,12/2/2020,0,0,77,0,2,0
13900,Amador,12/2/2020,4,0,51,0,3,4
13901,Fresno,12/2/2020,338,29,1736,2,10,367
13902,Alameda,12/2/2020,195,43,2563,5,85,238
13903,Sutter,12/2/2020,0,0,14,0,0,0
13904,Ventura,12/2/2020,98,13,1252,4,18,111
13905,Yolo,12/2/2020,20,0,96,0,6,20
13906,El Dorado,12/2/2020,13,0,190,0,8,13
13907,Placer,12/2/2020,131,14,783,2,25,145
13908,San Diego,12/2/2020,705,56,6842,4,219,761
13909,Imperial,12/2/2020,82,1,265,0,2,83
13910,Shasta,12/2/2020,53,0,561,0,4,53
13911,Kern,12/2/2020,179,5,1299,0,31,184
13912,Butte,12/2/2020,44,1,451,1,12,45
13913,Trinity,12/2/2020,0,0,25,0,0,0
13914,Sacramento,12/2/2020,359,29,2600,4,71,388
13915,Mendocino,12/2/2020,11,0,177,0,1,11
13916,Modoc,12/2/2020,1,0,41,0,0,1
13917,San Luis Obispo,12/2/2020,8,1,460,0,26,9
13918,Santa Cruz,12/2/2020,47,0,382,0,5,47
13919,Colusa,12/2/2020,11,0,48,0,0,11
13920,San Bernardino,12/2/2020,904,98,4039,12,57,1002
13921,Santa Barbara,12/2/2020,57,3,688,0,46,60
13922,Yuba,12/2/2020,37,0,265,0,1,37
13923,Del Norte,12/2/2020,0,0,51,0,3,0
13924,Tulare,12/2/2020,100,10,679,1,22,110
13925,Calaveras,12/2/2020,5,0,33,0,5,5
13926,Marin,12/2/2020,16,4,348,0,12,20
13927,Nevada,12/2/2020,17,0,128,0,6,17
13928,Sonoma,12/2/2020,38,4,609,0,4,42
13929,Siskiyou,12/2/2020,15,0,56,0,8,15
13930,San Mateo,12/2/2020,70,6,735,1,43,76
13931,San Joaquin,12/2/2020,162,7,1042,1,27,169
13932,Kings,12/2/2020,58,1,193,0,7,59
13933,San Benito,12/2/2020,9,0,25,0,0,9
13934,Madera,12/2/2020,28,10,329,0,10,38
13935,Santa Clara,12/2/2020,304,23,3073,2,56,327
13936,Mono,12/2/2020,2,0,17,0,2,2
13937,Plumas,12/2/2020,0,0,35,0,0,0
13938,Napa,12/2/2020,12,0,351,0,22,12
13939,Merced,12/2/2020,32,0,271,0,4,32
13940,Stanislaus,12/2/2020,219,18,1291,2,24,237
13941,Tehama,12/3/2020,11,0,59,0,1,11
13942,Calaveras,12/3/2020,5,0,33,0,5,5
13943,Sacramento,12/3/2020,373,23,2578,4,79,396
13944,Amador,12/3/2020,5,0,51,0,2,5
13945,Mariposa,12/3/2020,1,0,19,0,0,1
13946,Yolo,12/3/2020,18,0,96,0,3,18
13947,Del Norte,12/3/2020,0,0,51,0,2,0
13948,Tuolumne,12/3/2020,11,0,84,0,2,11
13949,Alameda,12/3/2020,206,49,2586,3,91,255
13950,Ventura,12/3/2020,104,15,1246,6,19,119
13951,San Luis Obispo,12/3/2020,13,0,460,0,24,13
13952,Inyo,12/3/2020,2,0,29,0,2,2
13953,Nevada,12/3/2020,16,2,123,1,4,18
13954,Humboldt,12/3/2020,7,0,282,0,4,7
13955,Sonoma,12/3/2020,37,5,613,1,7,42
13956,Santa Cruz,12/3/2020,43,0,382,0,6,43
13957,Butte,12/3/2020,47,1,451,1,21,48
13958,Los Angeles,12/3/2020,2769,328,20371,38,486,3097
13959,Marin,12/3/2020,16,3,350,0,11,19
13960,San Joaquin,12/3/2020,160,5,1040,1,24,165
13961,Colusa,12/3/2020,10,0,48,0,0,10
13962,Mono,12/3/2020,3,0,17,0,2,3
13963,San Benito,12/3/2020,6,0,25,0,0,6
13964,Imperial,12/3/2020,91,1,265,0,1,92
13965,Plumas,12/3/2020,1,0,35,0,0,1
13966,Lake,12/3/2020,2,0,77,0,2,2
13967,Sutter,12/3/2020,0,0,14,0,0,0
13968,Fresno,12/3/2020,340,38,1715,4,11,378
13969,San Francisco,12/3/2020,93,5,1902,1,53,98
13970,Glenn,12/3/2020,0,0,47,0,0,0
13971,El Dorado,12/3/2020,15,1,190,0,7,16
13972,Santa Barbara,12/3/2020,59,1,688,0,40,60
13973,Stanislaus,12/3/2020,218,13,1291,2,18,231
13974,San Mateo,12/3/2020,76,7,738,0,38,83
13975,Yuba,12/3/2020,39,0,265,0,1,39
13976,Mendocino,12/3/2020,10,0,177,0,3,10
13977,Tulare,12/3/2020,107,10,682,2,18,117
13978,Merced,12/3/2020,38,0,271,0,10,38
13979,Contra Costa,12/3/2020,122,14,1573,3,35,136
13980,Monterey,12/3/2020,90,1,717,0,14,91
13981,Kern,12/3/2020,182,6,1310,0,39,188
13982,Orange,12/3/2020,746,64,6088,6,133,810
13983,Modoc,12/3/2020,1,2,41,0,0,3
13984,Solano,12/3/2020,64,14,575,1,12,78
13985,Lassen,12/3/2020,11,0,25,0,0,11
13986,Santa Clara,12/3/2020,307,23,3090,2,51,330
13987,San Diego,12/3/2020,743,54,6829,4,210,797
13988,Placer,12/3/2020,144,19,787,0,23,163
13989,Shasta,12/3/2020,51,0,561,0,8,51
13990,Kings,12/3/2020,60,0,193,0,7,60
13991,Napa,12/3/2020,12,1,351,1,24,13
13992,Trinity,12/3/2020,0,0,25,0,0,0
13993,Riverside,12/3/2020,658,81,3529,5,45,739
13994,Siskiyou,12/3/2020,13,3,56,0,8,16
13995,San Bernardino,12/3/2020,880,84,4025,9,64,964
13996,Madera,12/3/2020,29,10,275,1,3,39
13997,Tuolumne,12/4/2020,11,0,84,0,0,11
13998,Colusa,12/4/2020,9,0,48,0,0,9
13999,Imperial,12/4/2020,90,0,265,0,1,90
14000,Mendocino,12/4/2020,10,0,100,0,8,10
14001,Monterey,12/4/2020,90,2,717,1,15,92
14002,Los Angeles,12/4/2020,2878,319,20148,34,479,3197
14003,San Mateo,12/4/2020,78,11,738,1,38,89
14004,Tehama,12/4/2020,9,0,59,0,0,9
14005,Del Norte,12/4/2020,0,0,51,0,4,0
14006,Yuba,12/4/2020,41,0,265,0,5,41
14007,Solano,12/4/2020,69,14,583,1,12,83
14008,Sonoma,12/4/2020,41,3,595,1,6,44
14009,Orange,12/4/2020,842,45,6194,6,121,887
14010,Santa Cruz,12/4/2020,46,1,386,0,4,47
14011,Siskiyou,12/4/2020,12,0,56,0,6,12
14012,Nevada,12/4/2020,15,1,116,0,5,16
14013,Alameda,12/4/2020,213,38,2562,3,91,251
14014,Kings,12/4/2020,63,0,121,0,0,63
14015,Marin,12/4/2020,15,1,351,0,13,16
14016,Merced,12/4/2020,29,0,271,0,5,29
14017,Fresno,12/4/2020,354,36,1672,0,5,390
14018,San Bernardino,12/4/2020,913,85,4037,8,63,998
14019,Humboldt,12/4/2020,7,2,281,2,5,9
14020,Lake,12/4/2020,2,0,77,0,1,2
14021,Amador,12/4/2020,6,0,51,0,1,6
14022,Yolo,12/4/2020,18,0,96,0,5,18
14023,Contra Costa,12/4/2020,126,17,1570,3,39,143
14024,Santa Barbara,12/4/2020,54,0,688,0,60,54
14025,Madera,12/4/2020,28,10,275,0,9,38
14026,San Luis Obispo,12/4/2020,15,0,460,0,22,15
14027,El Dorado,12/4/2020,19,0,190,0,6,19
14028,Sutter,12/4/2020,0,0,14,0,0,0
14029,Modoc,12/4/2020,0,0,41,0,0,0
14030,Tulare,12/4/2020,104,2,641,1,10,106
14031,Kern,12/4/2020,198,5,1121,1,33,203
14032,Sacramento,12/4/2020,378,21,2560,2,73,399
14033,San Francisco,12/4/2020,96,3,1909,2,59,99
14034,Shasta,12/4/2020,49,0,561,0,8,49
14035,Inyo,12/4/2020,2,0,29,0,3,2
14036,Santa Clara,12/4/2020,332,23,3090,2,47,355
14037,Glenn,12/4/2020,1,0,47,0,0,1
14038,San Diego,12/4/2020,772,35,6824,2,210,807
14039,Butte,12/4/2020,51,1,451,0,15,52
14040,Napa,12/4/2020,8,0,200,1,13,8
14041,Mono,12/4/2020,1,0,17,0,2,1
14042,Calaveras,12/4/2020,4,0,33,0,5,4
14043,Riverside,12/4/2020,687,101,3519,6,55,788
14044,Lassen,12/4/2020,5,0,25,0,0,5
14045,Mariposa,12/4/2020,1,0,19,0,0,1
14046,Ventura,12/4/2020,111,15,1175,1,16,126
14047,Placer,12/4/2020,148,15,784,0,25,163
14048,Plumas,12/4/2020,0,0,35,0,0,0
14049,Stanislaus,12/4/2020,225,12,1285,2,16,237
14050,San Joaquin,12/4/2020,172,15,944,3,9,187
14051,Trinity,12/4/2020,0,0,25,0,0,0
14052,San Benito,12/4/2020,5,0,25,0,0,5
14053,Marin,12/5/2020,21,0,352,0,16,21
14054,San Mateo,12/5/2020,82,8,739,0,38,90
14055,Solano,12/5/2020,72,13,585,0,12,85
14056,Butte,12/5/2020,57,0,451,0,9,57
14057,Napa,12/5/2020,8,0,200,0,10,8
14058,Tulare,12/5/2020,115,4,638,1,10,119
14059,Placer,12/5/2020,147,23,755,3,21,170
14060,San Joaquin,12/5/2020,187,12,1017,2,6,199
14061,Ventura,12/5/2020,117,10,1198,1,23,127
14062,San Luis Obispo,12/5/2020,11,0,460,0,19,11
14063,Plumas,12/5/2020,0,0,35,0,0,0
14064,Humboldt,12/5/2020,7,2,278,0,5,9
14065,Yolo,12/5/2020,19,0,96,0,7,19
14066,Amador,12/5/2020,7,0,51,0,1,7
14067,San Bernardino,12/5/2020,958,78,4002,5,72,1036
14068,Mariposa,12/5/2020,1,0,19,0,0,1
14069,Santa Cruz,12/5/2020,44,1,382,0,4,45
14070,Inyo,12/5/2020,2,0,29,0,3,2
14071,Trinity,12/5/2020,0,0,25,0,0,0
14072,Siskiyou,12/5/2020,12,0,56,0,7,12
14073,Lake,12/5/2020,2,1,77,0,1,3
14074,Nevada,12/5/2020,16,1,109,0,1,17
14075,Sacramento,12/5/2020,371,30,2540,6,65,401
14076,Modoc,12/5/2020,1,0,41,0,0,1
14077,Del Norte,12/5/2020,0,0,51,0,4,0
14078,Colusa,12/5/2020,9,0,48,0,0,9
14079,Yuba,12/5/2020,43,0,261,0,3,43
14080,San Francisco,12/5/2020,111,6,1882,0,57,117
14081,Santa Barbara,12/5/2020,50,1,688,0,51,51
14082,Santa Clara,12/5/2020,336,21,3062,1,56,357
14083,Calaveras,12/5/2020,2,0,33,0,5,2
14084,El Dorado,12/5/2020,22,0,190,0,6,22
14085,Glenn,12/5/2020,2,4,47,0,0,6
14086,San Diego,12/5/2020,790,45,6980,11,198,835
14087,Orange,12/5/2020,848,54,5957,5,120,902
14088,Los Angeles,12/5/2020,2988,340,20033,56,425,3328
14089,Riverside,12/5/2020,671,116,3506,7,50,787
14090,Sutter,12/5/2020,0,0,14,0,0,0
14091,Merced,12/5/2020,33,0,271,0,4,33
14092,Tehama,12/5/2020,10,0,59,0,0,10
14093,Monterey,12/5/2020,87,3,717,1,20,90
14094,Contra Costa,12/5/2020,133,17,1584,2,45,150
14095,Sonoma,12/5/2020,41,8,563,1,8,49
14096,Kern,12/5/2020,199,3,1084,0,30,202
14097,Madera,12/5/2020,31,11,275,1,8,42
14098,Alameda,12/5/2020,227,32,2556,3,98,259
14099,Mono,12/5/2020,1,0,17,0,2,1
14100,Mendocino,12/5/2020,8,1,76,0,8,9
14101,Lassen,12/5/2020,5,0,25,0,0,5
14102,San Benito,12/5/2020,5,0,25,0,0,5
14103,Stanislaus,12/5/2020,217,15,1294,3,17,232
14104,Tuolumne,12/5/2020,7,0,84,0,2,7
14105,Fresno,12/5/2020,396,24,1636,3,6,420
14106,Shasta,12/5/2020,49,0,561,0,9,49
14107,Kings,12/5/2020,66,0,114,0,3,66
14108,Imperial,12/5/2020,96,0,265,0,2,96
14109,Contra Costa,12/6/2020,138,20,1566,0,66,158
14110,San Diego,12/6/2020,817,54,6935,5,223,871
14111,Colusa,12/6/2020,9,0,48,0,0,9
14112,Monterey,12/6/2020,97,2,717,1,23,99
14113,Riverside,12/6/2020,700,117,3464,7,52,817
14114,Siskiyou,12/6/2020,13,0,56,0,8,13
14115,San Francisco,12/6/2020,110,5,1834,0,71,115
14116,Glenn,12/6/2020,2,4,47,0,0,6
14117,Trinity,12/6/2020,0,0,25,0,0,0
14118,Nevada,12/6/2020,17,1,109,0,5,18
14119,Amador,12/6/2020,7,0,51,0,2,7
14120,Sacramento,12/6/2020,374,24,2539,5,76,398
14121,Sonoma,12/6/2020,48,9,531,4,12,57
14122,Lake,12/6/2020,2,1,77,0,1,3
14123,Merced,12/6/2020,35,0,271,0,7,35
14124,Imperial,12/6/2020,98,0,265,0,0,98
14125,Kings,12/6/2020,69,0,121,0,3,69
14126,San Luis Obispo,12/6/2020,13,1,460,0,20,14
14127,Shasta,12/6/2020,48,0,561,0,10,48
14128,Fresno,12/6/2020,408,28,1648,1,7,436
14129,Del Norte,12/6/2020,0,0,51,0,5,0
14130,Yolo,12/6/2020,20,0,96,0,4,20
14131,Los Angeles,12/6/2020,3113,377,20053,57,480,3490
14132,Placer,12/6/2020,154,17,758,2,21,171
14133,San Mateo,12/6/2020,82,10,735,0,33,92
14134,Tulare,12/6/2020,118,8,634,1,8,126
14135,Humboldt,12/6/2020,7,0,271,0,3,7
14136,Napa,12/6/2020,11,1,200,0,11,12
14137,San Benito,12/6/2020,4,0,25,0,0,4
14138,Inyo,12/6/2020,3,0,29,0,4,3
14139,Lassen,12/6/2020,5,0,25,0,0,5
14140,Santa Cruz,12/6/2020,49,0,382,0,6,49
14141,El Dorado,12/6/2020,18,2,190,2,6,20
14142,Solano,12/6/2020,69,10,556,0,11,79
14143,Orange,12/6/2020,877,44,5882,8,117,921
14144,San Joaquin,12/6/2020,199,27,1018,4,4,226
14145,Ventura,12/6/2020,122,11,1184,2,27,133
14146,Stanislaus,12/6/2020,209,12,1296,1,18,221
14147,Butte,12/6/2020,51,0,451,0,15,51
14148,Tehama,12/6/2020,10,0,59,0,1,10
14149,Mariposa,12/6/2020,2,0,19,0,0,2
14150,Kern,12/6/2020,207,2,1092,0,31,209
14151,Mendocino,12/6/2020,7,0,71,0,7,7
14152,Tuolumne,12/6/2020,9,0,184,0,2,9
14153,Alameda,12/6/2020,226,40,2544,2,98,266
14154,Yuba,12/6/2020,46,0,261,0,9,46
14155,Modoc,12/6/2020,1,0,41,0,0,1
14156,Santa Barbara,12/6/2020,59,2,688,0,57,61
14157,Marin,12/6/2020,20,0,343,0,15,20
14158,Santa Clara,12/6/2020,354,14,3062,1,53,368
14159,Calaveras,12/6/2020,2,0,33,0,4,2
14160,Plumas,12/6/2020,0,0,35,0,0,0
14161,San Bernardino,12/6/2020,984,76,3987,6,71,1060
14162,Sutter,12/6/2020,0,0,14,0,0,0
14163,Madera,12/6/2020,27,9,275,1,5,36
14164,Mono,12/6/2020,0,0,17,0,2,0
14165,Merced,12/7/2020,37,0,271,0,8,37
14166,San Luis Obispo,12/7/2020,12,3,460,0,22,15
14167,Fresno,12/7/2020,420,35,1658,5,9,455
14168,Ventura,12/7/2020,128,8,1176,3,33,136
14169,Solano,12/7/2020,67,8,550,0,13,75
14170,Nevada,12/7/2020,18,0,123,0,2,18
14171,Mono,12/7/2020,0,0,17,0,2,0
14172,Inyo,12/7/2020,3,0,29,0,4,3
14173,San Joaquin,12/7/2020,199,9,1019,3,9,208
14174,Tehama,12/7/2020,12,0,59,0,2,12
14175,Santa Cruz,12/7/2020,49,0,372,0,6,49
14176,Tuolumne,12/7/2020,7,0,84,0,3,7
14177,Los Angeles,12/7/2020,3299,354,19993,44,497,3653
14178,Lake,12/7/2020,2,0,77,0,1,2
14179,Modoc,12/7/2020,0,0,12,0,0,0
14180,Amador,12/7/2020,7,0,51,0,2,7
14181,Placer,12/7/2020,149,13,764,2,23,162
14182,Glenn,12/7/2020,5,0,47,0,0,5
14183,Mariposa,12/7/2020,2,0,19,0,0,2
14184,Kings,12/7/2020,75,2,111,1,0,77
14185,Contra Costa,12/7/2020,140,16,1548,2,45,156
14186,San Mateo,12/7/2020,83,12,742,1,34,95
14187,Orange,12/7/2020,946,78,5891,9,113,1024
14188,Del Norte,12/7/2020,1,0,51,0,2,1
14189,Yuba,12/7/2020,42,0,261,0,7,42
14190,Santa Clara,12/7/2020,376,22,3053,6,63,398
14191,Madera,12/7/2020,24,12,275,0,1,36
14192,Alameda,12/7/2020,232,36,2527,4,97,268
14193,Butte,12/7/2020,54,1,451,0,13,55
14194,Lassen,12/7/2020,6,0,25,0,0,6
14195,Siskiyou,12/7/2020,13,0,56,0,7,13
14196,Plumas,12/7/2020,0,0,35,0,0,0
14197,Sonoma,12/7/2020,47,3,564,1,11,50
14198,Sutter,12/7/2020,0,0,14,0,0,0
14199,San Benito,12/7/2020,7,0,25,0,0,7
14200,Calaveras,12/7/2020,1,0,33,0,4,1
14201,Tulare,12/7/2020,126,9,638,1,15,135
14202,Yolo,12/7/2020,23,0,96,0,2,23
14203,San Bernardino,12/7/2020,996,104,4021,9,63,1100
14204,San Francisco,12/7/2020,117,6,1876,0,65,123
14205,Colusa,12/7/2020,8,1,48,0,0,9
14206,Marin,12/7/2020,17,3,347,0,13,20
14207,Santa Barbara,12/7/2020,64,0,688,0,57,64
14208,Shasta,12/7/2020,46,0,561,0,11,46
14209,Riverside,12/7/2020,733,115,3494,7,53,848
14210,Sacramento,12/7/2020,385,27,2544,4,78,412
14211,Stanislaus,12/7/2020,231,13,1292,2,16,244
14212,El Dorado,12/7/2020,20,1,190,1,5,21
14213,Humboldt,12/7/2020,8,1,276,0,3,9
14214,Imperial,12/7/2020,121,1,265,0,0,122
14215,Kern,12/7/2020,216,8,1121,0,20,224
14216,San Diego,12/7/2020,867,41,6928,4,211,908
14217,Monterey,12/7/2020,105,1,717,0,15,106
14218,Mendocino,12/7/2020,9,0,73,0,7,9
14219,Trinity,12/7/2020,0,0,25,0,0,0
14220,Napa,12/7/2020,12,1,200,0,12,13
14221,San Diego,12/8/2020,874,59,6836,6,195,933
14222,Kings,12/8/2020,80,2,127,1,0,82
14223,Santa Barbara,12/8/2020,64,3,688,0,56,67
14224,Stanislaus,12/8/2020,247,13,1290,4,14,260
14225,Imperial,12/8/2020,121,1,265,0,3,122
14226,Contra Costa,12/8/2020,143,16,1562,3,34,159
14227,Los Angeles,12/8/2020,3433,337,20119,54,462,3770
14228,Lassen,12/8/2020,5,0,25,0,0,5
14229,Fresno,12/8/2020,454,38,1663,3,7,492
14230,Nevada,12/8/2020,14,0,126,0,4,14
14231,Madera,12/8/2020,27,10,275,0,1,37
14232,Yuba,12/8/2020,45,0,261,0,3,45
14233,Santa Clara,12/8/2020,392,21,3074,4,38,413
14234,Mendocino,12/8/2020,7,0,78,0,4,7
14235,Riverside,12/8/2020,768,127,3535,9,49,895
14236,Alameda,12/8/2020,242,38,2541,5,87,280
14237,Humboldt,12/8/2020,6,1,269,0,6,7
14238,Shasta,12/8/2020,44,2,561,0,13,46
14239,San Bernardino,12/8/2020,1053,87,4010,6,82,1140
14240,Sutter,12/8/2020,0,0,14,0,0,0
14241,San Benito,12/8/2020,7,0,25,0,0,7
14242,Monterey,12/8/2020,112,1,717,0,16,113
14243,Modoc,12/8/2020,0,0,12,0,0,0
14244,Lake,12/8/2020,4,0,77,0,1,4
14245,Solano,12/8/2020,74,14,591,0,17,88
14246,Napa,12/8/2020,15,1,200,0,22,16
14247,Placer,12/8/2020,158,17,768,2,20,175
14248,Sonoma,12/8/2020,51,9,580,2,10,60
14249,Plumas,12/8/2020,1,0,35,0,0,1
14250,Calaveras,12/8/2020,1,0,33,0,5,1
14251,Santa Cruz,12/8/2020,48,0,372,0,4,48
14252,Mariposa,12/8/2020,3,0,19,0,0,3
14253,Siskiyou,12/8/2020,13,0,56,0,8,13
14254,Glenn,12/8/2020,5,0,47,0,0,5
14255,Mono,12/8/2020,0,0,17,0,2,0
14256,Del Norte,12/8/2020,3,0,51,0,2,3
14257,Yolo,12/8/2020,26,0,96,0,2,26
14258,Tuolumne,12/8/2020,6,0,84,0,2,6
14259,San Luis Obispo,12/8/2020,15,0,460,0,20,15
14260,San Mateo,12/8/2020,87,10,754,1,35,97
14261,Marin,12/8/2020,20,4,336,0,13,24
14262,Tehama,12/8/2020,17,0,59,0,2,17
14263,Merced,12/8/2020,37,0,271,0,9,37
14264,Trinity,12/8/2020,0,0,25,0,0,0
14265,Inyo,12/8/2020,3,0,29,0,3,3
14266,Sacramento,12/8/2020,398,24,2584,1,67,422
14267,Tulare,12/8/2020,128,13,638,2,15,141
14268,San Joaquin,12/8/2020,218,9,1019,3,5,227
14269,Kern,12/8/2020,225,4,1134,0,20,229
14270,Orange,12/8/2020,974,80,6023,14,111,1054
14271,Butte,12/8/2020,63,3,451,0,7,66
14272,El Dorado,12/8/2020,24,0,190,0,4,24
14273,Colusa,12/8/2020,4,0,48,0,0,4
14274,San Francisco,12/8/2020,115,5,1877,0,53,120
14275,Ventura,12/8/2020,131,4,1206,1,31,135
14276,Amador,12/8/2020,7,0,51,0,2,7
14277,Colusa,12/9/2020,2,1,48,0,0,3
14278,Calaveras,12/9/2020,2,0,33,0,5,2
14279,Ventura,12/9/2020,145,7,1218,1,31,152
14280,Yolo,12/9/2020,24,0,96,0,2,24
14281,Del Norte,12/9/2020,3,0,51,0,1,3
14282,Santa Barbara,12/9/2020,72,3,688,0,43,75
14283,Humboldt,12/9/2020,3,1,278,0,5,4
14284,San Mateo,12/9/2020,96,14,764,1,31,110
14285,San Joaquin,12/9/2020,225,13,1016,2,3,238
14286,Tuolumne,12/9/2020,7,0,84,0,2,7
14287,Contra Costa,12/9/2020,164,5,1563,0,33,169
14288,Lake,12/9/2020,4,0,77,0,1,4
14289,Solano,12/9/2020,82,16,583,2,13,98
14290,Imperial,12/9/2020,127,0,265,0,2,127
14291,Mono,12/9/2020,1,0,17,0,2,1
14292,Plumas,12/9/2020,1,0,35,0,0,1
14293,Merced,12/9/2020,41,0,271,0,8,41
14294,Madera,12/9/2020,31,12,275,0,7,43
14295,Sutter,12/9/2020,0,0,14,0,0,0
14296,San Benito,12/9/2020,6,0,25,0,0,6
14297,Inyo,12/9/2020,3,0,29,0,1,3
14298,Fresno,12/9/2020,460,31,1583,2,8,491
14299,Mendocino,12/9/2020,9,0,79,0,7,9
14300,Tulare,12/9/2020,138,12,637,1,7,150
14301,San Bernardino,12/9/2020,1094,92,4020,5,50,1186
14302,Mariposa,12/9/2020,2,0,19,0,0,2
14303,Marin,12/9/2020,29,4,339,0,8,33
14304,Orange,12/9/2020,1025,68,6041,10,108,1093
14305,San Diego,12/9/2020,905,50,6862,5,199,955
14306,Modoc,12/9/2020,0,0,12,0,0,0
14307,Alameda,12/9/2020,254,47,2550,8,75,301
14308,Monterey,12/9/2020,114,1,908,0,18,115
14309,Santa Cruz,12/9/2020,47,0,372,0,1,47
14310,Nevada,12/9/2020,13,0,129,0,2,13
14311,Lassen,12/9/2020,2,0,25,0,0,2
14312,Siskiyou,12/9/2020,11,0,56,0,10,11
14313,Los Angeles,12/9/2020,3624,370,20120,29,468,3994
14314,Amador,12/9/2020,9,0,51,0,2,9
14315,Riverside,12/9/2020,775,132,3239,10,72,907
14316,Placer,12/9/2020,166,17,764,1,18,183
14317,Butte,12/9/2020,62,3,451,0,6,65
14318,Kings,12/9/2020,73,1,123,1,1,74
14319,Sacramento,12/9/2020,398,24,2481,5,55,422
14320,El Dorado,12/9/2020,25,0,190,0,4,25
14321,Glenn,12/9/2020,5,0,47,0,0,5
14322,Yuba,12/9/2020,49,0,261,0,4,49
14323,Kern,12/9/2020,229,9,1153,0,19,238
14324,Stanislaus,12/9/2020,258,12,1290,3,17,270
14325,Sonoma,12/9/2020,60,5,605,1,10,65
14326,Trinity,12/9/2020,0,0,25,0,0,0
14327,Santa Clara,12/9/2020,411,22,3119,2,34,433
14328,Tehama,12/9/2020,13,0,59,0,3,13
14329,San Francisco,12/9/2020,121,6,1928,0,45,127
14330,Shasta,12/9/2020,46,0,561,0,13,46
14331,San Luis Obispo,12/9/2020,17,1,460,0,22,18
14332,Napa,12/9/2020,14,1,200,0,11,15
14333,Orange,12/10/2020,1122,50,6011,5,97,1172
14334,San Benito,12/10/2020,10,0,25,0,0,10
14335,Merced,12/10/2020,39,0,271,0,6,39
14336,Kings,12/10/2020,77,0,127,0,5,77
14337,Sacramento,12/10/2020,422,15,2620,5,63,437
14338,El Dorado,12/10/2020,25,0,190,0,4,25
14339,Stanislaus,12/10/2020,268,8,1288,2,21,276
14340,San Francisco,12/10/2020,118,1,1917,0,35,119
14341,Yuba,12/10/2020,49,0,261,0,5,49
14342,San Mateo,12/10/2020,98,14,761,2,29,112
14343,Trinity,12/10/2020,0,0,25,0,0,0
14344,Shasta,12/10/2020,49,0,561,0,13,49
14345,San Bernardino,12/10/2020,1132,109,4029,7,71,1241
14346,Marin,12/10/2020,25,5,335,0,9,30
14347,Inyo,12/10/2020,3,1,29,0,0,4
14348,Glenn,12/10/2020,5,0,47,0,0,5
14349,Colusa,12/10/2020,3,1,48,0,5,4
14350,Alameda,12/10/2020,278,34,2550,5,70,312
14351,Sutter,12/10/2020,0,0,14,0,0,0
14352,Calaveras,12/10/2020,3,0,33,0,2,3
14353,Yolo,12/10/2020,24,0,96,0,3,24
14354,Placer,12/10/2020,176,18,757,0,21,194
14355,Siskiyou,12/10/2020,11,0,56,0,10,11
14356,Tuolumne,12/10/2020,8,0,84,0,1,8
14357,Lake,12/10/2020,4,0,77,0,1,4
14358,Santa Clara,12/10/2020,419,19,3127,4,35,438
14359,Imperial,12/10/2020,127,0,265,0,1,127
14360,Napa,12/10/2020,14,1,255,0,4,15
14361,Riverside,12/10/2020,809,141,3517,9,53,950
14362,Humboldt,12/10/2020,4,1,260,0,3,5
14363,Los Angeles,12/10/2020,3850,323,20075,38,440,4173
14364,Mendocino,12/10/2020,7,0,79,0,7,7
14365,Ventura,12/10/2020,146,12,1217,2,32,158
14366,Plumas,12/10/2020,2,0,35,0,0,2
14367,Tulare,12/10/2020,136,5,636,0,10,141
14368,San Diego,12/10/2020,902,61,6963,11,194,963
14369,Nevada,12/10/2020,18,2,117,0,2,20
14370,Madera,12/10/2020,31,5,275,0,5,36
14371,Contra Costa,12/10/2020,156,8,1572,1,38,164
14372,Modoc,12/10/2020,0,0,12,0,0,0
14373,Sonoma,12/10/2020,68,9,599,2,9,77
14374,Mono,12/10/2020,1,0,17,0,1,1
14375,Santa Barbara,12/10/2020,73,3,688,0,37,76
14376,Butte,12/10/2020,61,3,451,0,8,64
14377,Mariposa,12/10/2020,2,0,19,0,0,2
14378,Del Norte,12/10/2020,2,0,51,0,1,2
14379,Amador,12/10/2020,9,0,51,0,0,9
