county,date,total_doses
San Joaquin,3/5/2021,3989
San Luis Obispo,3/5/2021,2067
San Mateo,3/5/2021,7934
Santa Barbara,3/5/2021,3684
Santa Clara,3/5/2021,12995
Santa Cruz,3/5/2021,2223
Shasta,3/5/2021,899
Sierra,3/5/2021,12
Siskiyou,3/5/2021,193
Solano,3/5/2021,3421
Sonoma,3/5/2021,4946
Stanislaus,3/5/2021,3785
Sutter,3/5/2021,255
Tehama,3/5/2021,340
Trinity,3/5/2021,282
Tulare,3/5/2021,2890
Tuolumne,3/5/2021,74
Ventura,3/5/2021,8848
Yolo,3/5/2021,1278
Yuba,3/5/2021,260
Alameda,3/4/2021,14930
Alpine,3/4/2021,11
Amador,3/4/2021,466
Butte,3/4/2021,2609
Calaveras,3/4/2021,529
Colusa,3/4/2021,109
Contra Costa,3/4/2021,10433
Del Norte,3/4/2021,120
El Dorado,3/4/2021,2100
Fresno,3/4/2021,7384
Glenn,3/4/2021,382
Humboldt,3/4/2021,827
Imperial,3/4/2021,683
Inyo,3/4/2021,120
Kern,3/4/2021,4620
Kings,3/4/2021,546
Lake,3/4/2021,505
Lassen,3/4/2021,139
Los Angeles,3/4/2021,79018
Madera,3/4/2021,1080
Marin,3/4/2021,2681
Mariposa,3/4/2021,16
Mendocino,3/4/2021,1071
Merced,3/4/2021,2668
Modoc,3/4/2021,155
Mono,3/4/2021,7
Monterey,3/4/2021,4040
Napa,3/4/2021,1274
Nevada,3/4/2021,975
Orange,3/4/2021,18638
Placer,3/4/2021,3031
Plumas,3/4/2021,211
Riverside,3/4/2021,14437
Sacramento,3/4/2021,9334
San Benito,3/4/2021,286
San Bernardino,3/4/2021,10634
San Diego,3/4/2021,27329
San Francisco,3/4/2021,7521
San Joaquin,3/4/2021,4594
San Luis Obispo,3/4/2021,1940
San Mateo,3/4/2021,7170
Santa Barbara,3/4/2021,3092
Santa Clara,3/4/2021,12911
Santa Cruz,3/4/2021,2508
Shasta,3/4/2021,992
Sierra,3/4/2021,100
Siskiyou,3/4/2021,659
Solano,3/4/2021,2554
Sonoma,3/4/2021,4754
Stanislaus,3/4/2021,5193
Sutter,3/4/2021,1154
Tehama,3/4/2021,511
Trinity,3/4/2021,15
Tulare,3/4/2021,2608
Tuolumne,3/4/2021,1132
Ventura,3/4/2021,7718
Yolo,3/4/2021,1588
Yuba,3/4/2021,444
Alameda,3/3/2021,13687
Alpine,3/3/2021,30
Amador,3/3/2021,211
Butte,3/3/2021,2318
Calaveras,3/3/2021,477
Colusa,3/3/2021,211
Contra Costa,3/3/2021,9786
Del Norte,3/3/2021,150
El Dorado,3/3/2021,1301
Fresno,3/3/2021,5209
Glenn,3/3/2021,169
Humboldt,3/3/2021,1429
Imperial,3/3/2021,847
Inyo,3/3/2021,82
Kern,3/3/2021,5395
Kings,3/3/2021,526
Lake,3/3/2021,324
Lassen,3/3/2021,156
Los Angeles,3/3/2021,75890
Madera,3/3/2021,1144
Marin,3/3/2021,3872
Mariposa,3/3/2021,7
Mendocino,3/3/2021,1542
Merced,3/3/2021,2010
Modoc,3/3/2021,10
Mono,3/3/2021,82
Monterey,3/3/2021,2686
Napa,3/3/2021,1210
Nevada,3/3/2021,879
Orange,3/3/2021,18170
Placer,3/3/2021,2793
Plumas,3/3/2021,138
Riverside,3/3/2021,15625
Sacramento,3/3/2021,9027
San Benito,3/3/2021,354
San Bernardino,3/3/2021,11652
San Diego,3/3/2021,32270
San Francisco,3/3/2021,9975
San Joaquin,3/3/2021,5165
San Luis Obispo,3/3/2021,2059
San Mateo,3/3/2021,7449
Santa Barbara,3/3/2021,4406
Santa Clara,3/3/2021,16052
Santa Cruz,3/3/2021,2155
Shasta,3/3/2021,531
Sierra,3/3/2021,2
Siskiyou,3/3/2021,328
Solano,3/3/2021,1653
Sonoma,3/3/2021,4065
Stanislaus,3/3/2021,3408
Sutter,3/3/2021,1329
Tehama,3/3/2021,82
Trinity,3/3/2021,5
Tulare,3/3/2021,3186
Tuolumne,3/3/2021,77
Ventura,3/3/2021,8043
Yolo,3/3/2021,1681
Yuba,3/3/2021,594
Alameda,3/2/2021,12723
Alpine,3/2/2021,1
Amador,3/2/2021,370
Butte,3/2/2021,1362
Calaveras,3/2/2021,232
Colusa,3/2/2021,45
Contra Costa,3/2/2021,8793
Del Norte,3/2/2021,210
El Dorado,3/2/2021,804
Fresno,3/2/2021,7427
Glenn,3/2/2021,31
Humboldt,3/2/2021,232
Imperial,3/2/2021,674
Inyo,3/2/2021,176
Kern,3/2/2021,3752
Kings,3/2/2021,425
Lake,3/2/2021,710
Lassen,3/2/2021,100
Los Angeles,3/2/2021,66355
Madera,3/2/2021,591
Marin,3/2/2021,2267
Mariposa,3/2/2021,6
Mendocino,3/2/2021,62
Merced,3/2/2021,1544
Modoc,3/2/2021,187
Mono,3/2/2021,6
Monterey,3/2/2021,2547
Napa,3/2/2021,1274
Nevada,3/2/2021,648
Orange,3/2/2021,13403
Placer,3/2/2021,2703
Plumas,3/2/2021,8
Riverside,3/2/2021,13465
Sacramento,3/2/2021,8053
San Benito,3/2/2021,237
San Bernardino,3/2/2021,12717
San Diego,3/2/2021,24959
San Francisco,3/2/2021,8225
San Joaquin,3/2/2021,3807
San Luis Obispo,3/2/2021,2721
San Mateo,3/2/2021,5141
Santa Barbara,3/2/2021,2363
Santa Clara,3/2/2021,12075
Santa Cruz,3/2/2021,1427
Shasta,3/2/2021,473
Sierra,3/2/2021,50
Siskiyou,3/2/2021,175
Solano,3/2/2021,1563
Sonoma,3/2/2021,3979
Stanislaus,3/2/2021,2236
Sutter,3/2/2021,312
