,county,date,total_doses
655,Unknown,2021-03-05,184
656,Ventura,2021-03-05,8848
657,Yolo,2021-03-05,1278
658,Yuba,2021-03-05,260
659,Alameda,2021-03-04,14930
660,Alpine,2021-03-04,11
661,Amador,2021-03-04,466
662,Butte,2021-03-04,2609
663,Calaveras,2021-03-04,529
664,Colusa,2021-03-04,109
665,Contra Costa,2021-03-04,10433
666,Del Norte,2021-03-04,120
667,El Dorado,2021-03-04,2100
668,Fresno,2021-03-04,7384
669,Glenn,2021-03-04,382
670,Hamilton,2021-03-04,1
671,Humboldt,2021-03-04,827
672,Imperial,2021-03-04,683
673,Inyo,2021-03-04,120
674,Kern,2021-03-04,4620
675,Kings,2021-03-04,546
676,La Paz,2021-03-04,2
677,Lake,2021-03-04,505
678,Lassen,2021-03-04,139
679,Los Angeles,2021-03-04,79018
680,Madera,2021-03-04,1080
681,Marin,2021-03-04,2681
682,Mariposa,2021-03-04,16
683,Mendocino,2021-03-04,1071
684,Merced,2021-03-04,2668
685,Modoc,2021-03-04,155
686,Mono,2021-03-04,7
687,Monterey,2021-03-04,4040
688,Napa,2021-03-04,1274
689,Nevada,2021-03-04,975
690,Orange,2021-03-04,18638
691,Outside California,2021-03-04,7248
692,Placer,2021-03-04,3031
693,Plumas,2021-03-04,211
694,Riverside,2021-03-04,14437
695,Sacramento,2021-03-04,9334
696,San Benito,2021-03-04,286
697,San Bernardino,2021-03-04,10634
698,San Diego,2021-03-04,27329
699,San Francisco,2021-03-04,7521
700,San Joaquin,2021-03-04,4594
701,San Luis Obispo,2021-03-04,1940
702,San Mateo,2021-03-04,7170
703,Santa Barbara,2021-03-04,3092
704,Santa Clara,2021-03-04,12911
705,Santa Cruz,2021-03-04,2508
706,Shasta,2021-03-04,992
707,Sierra,2021-03-04,100
708,Siskiyou,2021-03-04,659
709,Solano,2021-03-04,2554
710,Sonoma,2021-03-04,4754
711,Stanislaus,2021-03-04,5193
712,Sutter,2021-03-04,1154
713,Tehama,2021-03-04,511
714,Trinity,2021-03-04,15
715,Tulare,2021-03-04,2608
716,Tuolumne,2021-03-04,1132
717,Unknown,2021-03-04,58
718,Ventura,2021-03-04,7718
719,Walla Walla,2021-03-04,1
720,Yolo,2021-03-04,1588
721,Yuba,2021-03-04,444
722,Alameda,2021-03-03,13687
723,Alpine,2021-03-03,30
724,Amador,2021-03-03,211
725,Bennington,2021-03-03,1
726,Butte,2021-03-03,2318
727,Calaveras,2021-03-03,477
728,Clallam,2021-03-03,1
729,Colusa,2021-03-03,211
730,Contra Costa,2021-03-03,9786
731,Del Norte,2021-03-03,150
732,El Dorado,2021-03-03,1301
733,Fresno,2021-03-03,5209
734,Glenn,2021-03-03,169
735,Humboldt,2021-03-03,1429
736,Imperial,2021-03-03,847
737,Inyo,2021-03-03,82
738,Jackson,2021-03-03,1
739,Kern,2021-03-03,5395
