county,date,total_doses
Napa,2021-03-01,1029
Nevada,2021-03-01,768
Orange,2021-03-01,17406
Placer,2021-03-01,2805
Plumas,2021-03-01,10
Riverside,2021-03-01,13108
Sacramento,2021-03-01,7098
San Benito,2021-03-01,214
San Bernardino,2021-03-01,7190
San Diego,2021-03-01,22956
San Francisco,2021-03-01,9555
San Joaquin,2021-03-01,3924
San Luis Obispo,2021-03-01,2868
San Mateo,2021-03-01,5264
Santa Barbara,2021-03-01,1486
Santa Clara,2021-03-01,12982
Santa Cruz,2021-03-01,1773
Shasta,2021-03-01,549
Sierra,2021-03-01,2
Siskiyou,2021-03-01,270
Solano,2021-03-01,1423
Sonoma,2021-03-01,3390
Stanislaus,2021-03-01,2917
Sutter,2021-03-01,232
Tehama,2021-03-01,61
Trinity,2021-03-01,7
Tulare,2021-03-01,1527
Tuolumne,2021-03-01,101
Ventura,2021-03-01,6718
Yolo,2021-03-01,983
Yuba,2021-03-01,148
Alameda,2021-02-28,8905
Amador,2021-02-28,94
Butte,2021-02-28,114
Calaveras,2021-02-28,87
Colusa,2021-02-28,24
Contra Costa,2021-02-28,3640
Del Norte,2021-02-28,6
El Dorado,2021-02-28,506
Fresno,2021-02-28,1490
Glenn,2021-02-28,5
Humboldt,2021-02-28,106
Imperial,2021-02-28,83
Inyo,2021-02-28,2
Kern,2021-02-28,843
Kings,2021-02-28,993
Lake,2021-02-28,17
Lassen,2021-02-28,5
Los Angeles,2021-02-28,25383
Madera,2021-02-28,179
Marin,2021-02-28,1316
Mariposa,2021-02-28,2
Mendocino,2021-02-28,35
Merced,2021-02-28,278
Mono,2021-02-28,1
Monterey,2021-02-28,1464
Napa,2021-02-28,541
Nevada,2021-02-28,233
Orange,2021-02-28,18309
Placer,2021-02-28,1348
Riverside,2021-02-28,4407
Sacramento,2021-02-28,5035
San Benito,2021-02-28,191
San Bernardino,2021-02-28,1611
San Diego,2021-02-28,13524
San Francisco,2021-02-28,7441
San Joaquin,2021-02-28,2908
San Luis Obispo,2021-02-28,175
San Mateo,2021-02-28,3976
Santa Barbara,2021-02-28,998
Santa Clara,2021-02-28,4556
Santa Cruz,2021-02-28,1273
Shasta,2021-02-28,167
Siskiyou,2021-02-28,3
Solano,2021-02-28,1274
Sonoma,2021-02-28,2144
Stanislaus,2021-02-28,731
Sutter,2021-02-28,75
Tehama,2021-02-28,22
Trinity,2021-02-28,1
Tulare,2021-02-28,1221
Tuolumne,2021-02-28,44
Ventura,2021-02-28,2474
Yolo,2021-02-28,1634
Yuba,2021-02-28,61
Alameda,2021-02-27,14406
Amador,2021-02-27,284
Butte,2021-02-27,227
Calaveras,2021-02-27,203
Colusa,2021-02-27,54
Contra Costa,2021-02-27,6375
Del Norte,2021-02-27,152
El Dorado,2021-02-27,1562
Fresno,2021-02-27,6052
Glenn,2021-02-27,14
Humboldt,2021-02-27,877
Imperial,2021-02-27,931
Inyo,2021-02-27,13
Kern,2021-02-27,3528
Kings,2021-02-27,1232
Lake,2021-02-27,57
Lassen,2021-02-27,8
Los Angeles,2021-02-27,57366
Madera,2021-02-27,844
Marin,2021-02-27,2543
Mariposa,2021-02-27,153
Mendocino,2021-02-27,187
Merced,2021-02-27,1907
